,Batsmen,R,B,4s,6s,SR
371,Tim DavidTH David  NOT OUT,15,10,2,0,150
372,Matthew WadeMS Wade  NOT OUT,7,3,1,0,233.33
373,Pat CumminsPJ Cummins,-,-,-,-,-
374,Mitchell StarcMA Starc,-,-,-,-,-
375,Adam ZampaA Zampa,-,-,-,-,-
376,Josh HazlewoodJR Hazlewood,-,-,-,-,-
377,"Extras (w 13, lb 2)",15,,,,
378,"Total (5 wickets, 20 overs)",179,,,,
379,Paul StirlingPR Stirling  c Pat Cummins b Glenn Maxwell,11,7,1,1,157.14
380,Andrew BalbirnieA Balbirnie  b Pat Cummins,6,7,0,1,85.71
381,Lorcan TuckerLJ Tucker  NOT OUT,71,48,9,1,147.91
382,Harry TectorHT Tector  c Steve Smith b Glenn Maxwell,6,4,1,0,150
383,Curtis CampherC Campher  b Mitchell Starc,0,1,0,0,0
384,George DockrellGH Dockrell  b Mitchell Starc,0,4,0,0,0
385,Gareth DelanyGJ Delany  c Glenn Maxwell b Marcus Stoinis,14,10,2,0,140
386,Mark AdairMR Adair  st Matthew Wade b Adam Zampa,11,11,1,0,100
387,Fionn HandF Hand  b Adam Zampa,6,6,1,0,100
388,Barry McCarthyBJ McCarthy  c Steve Smith b Pat Cummins,3,7,0,0,42.85
389,Joshua LittleJB Little  run out (Mitchell Marsh/Glenn Maxwell),1,5,0,0,20
390,"Extras (nb 1, w 4, b 1, lb 2)",8,,,,
391,"Total (all out, 18.1 overs)",137,,,,
392,Usman GhaniUsman Ghani  c Dasun Shanaka b Wanindu Hasaranga,27,27,2,1,100
393,GurbazGurbaz  b Lahiru Kumara,28,24,2,2,116.66
394,Ibrahim ZadranIbrahim Zadran  c Bhanuka Rajapaksa b Lahiru Kumara,22,18,1,1,122.22
395,Najib ZadranNajib Zadran  c Wanindu Hasaranga b Dhananjaya de Silva,18,16,1,0,112.5
396,Gulbadin NaibGulbadin Naib  run out (Pathum Nissanka/Kusal Mendis),12,14,0,0,85.71
397,Mohammad NabiMohammad Nabi  c Dasun Shanaka b Kasun Rajitha,13,8,1,0,162.5
398,Rashid KhanRashid Khan  b Wanindu Hasaranga,9,8,1,0,112.5
399,Azmat OmarzaiAzmat Omarzai  NOT OUT,3,4,0,0,75
400,Mujeeb ZadranMujeeb Zadran  st Kusal Mendis b Wanindu Hasaranga,1,2,0,0,50
401,Fareed MalikFarid Malik,-,-,-,-,-
402,Fazalhaq FarooqiFazalhaq Farooqi,-,-,-,-,-
403,"Extras (nb 1, w 6, b 3, lb 1)",11,,,,
404,"Total (8 wickets, 20 overs)",144,,,,
405,Pathum NissankaP Nissanka  b Mujeeb Zadran,10,10,2,0,100
406,Kusal MendisKusal Mendis  c Gurbaz b Rashid Khan,25,27,2,1,92.59
407,Dhananjaya de SilvaDM de Silva  NOT OUT,66,42,6,2,157.14
408,Charith AsalankaKIC Asalanka  c Azmat Omarzai b Rashid Khan,19,18,1,0,105.55
409,Bhanuka RajapaksaPBB Rajapaksa  c Gurbaz b Mujeeb Zadran,18,14,3,0,128.57
410,Dasun ShanakaMD Shanaka  NOT OUT,0,0,0,0,-
411,Wanindu HasarangaW Hasaranga,-,-,-,-,-
412,Pramod MadushanP Madushan,-,-,-,-,-
413,Maheesh TheekshanaM Theekshana,-,-,-,-,-
414,Kasun RajithaCAK Rajitha,-,-,-,-,-
415,Lahiru KumaraCBRLS Kumara,-,-,-,-,-
416,"Extras (w 9, lb 1)",10,,,,
417,"Total (4 wickets, 18.3 overs)",148,,,,
418,Jos ButtlerJC Buttler  run out (Kane Williamson/Tim Southee),73,47,7,2,155.31
419,Alex HalesAD Hales  st Devon Conway b Mitch Santner,52,40,7,1,130
420,Moeen AliMM Ali  c Trent Boult b Ish Sodhi,5,6,0,0,83.33
421,Liam LivingstoneLS Livingstone  b Lockie Ferguson,20,14,1,1,142.85
422,Harry BrookHC Brook  c Finn Allen b Tim Southee,7,3,0,1,233.33
423,Ben StokesBA Stokes  lbw Lockie Ferguson,8,7,0,0,114.28
424,Sam CurranSM Curran  NOT OUT,6,3,0,1,200
425,Dawid MalanDJ Malan  NOT OUT,3,1,0,0,300
426,Chris WoakesCR Woakes,-,-,-,-,-
427,Adil RashidAU Rashid,-,-,-,-,-
428,Mark WoodMA Wood,-,-,-,-,-
429,"Extras (nb 1, w 1, b 1, lb 2)",5,,,,
430,"Total (6 wickets, 20 overs)",179,,,,
431,Finn AllenFH Allen  c Ben Stokes b Sam Curran,16,11,0,1,145.45
432,Devon ConwayDP Conway  c Jos Buttler b Chris Woakes,3,9,0,0,33.33
433,Kane WilliamsonKS Williamson  c Adil Rashid b Ben Stokes,40,40,3,0,100
434,Glenn PhillipsGD Phillips  c Chris Jordan b Sam Curran,62,36,4,3,172.22
435,Jimmy NeeshamJDS Neesham  c Sam Curran b Mark Wood,6,3,1,0,200
436,Daryl MitchellDJ Mitchell  c Chris Jordan b Chris Woakes,3,5,0,0,60
437,Mitch SantnerMJ Santner  NOT OUT,16,10,0,1,160
438,Ish SodhiIS Sodhi  NOT OUT,6,6,0,0,100
439,Tim SoutheeTG Southee,-,-,-,-,-
440,Lockie FergusonLH Ferguson,-,-,-,-,-
441,Trent BoultTA Boult,-,-,-,-,-
442,"Extras (w 5, lb 2)",7,,,,
443,"Total (6 wickets, 20 overs)",159,,,,
444,Wessly MadhevereW Madhevere  b Paul van Meekeren,1,5,0,0,20
445,Craig ErvineCR Ervine  c Scott Edwards b Brandon Glover,3,12,0,0,25
446,Regis ChakabvaRW Chakabva  lbw Brandon Glover,5,16,1,0,31.25
447,Sean WilliamsSC Williams  c Max O'Dowd b Paul van Meekeren,28,23,3,0,121.73
448,Sikandar RazaSikandar Raza  c Fred Klaassen b Bas de Leede,40,24,3,3,166.66
449,Milton ShumbaM Shumba  c Stephan Myburgh b Logan van Beek,2,3,0,0,66.66
450,Ryan BurlRP Burl  b Paul van Meekeren,2,7,0,0,28.57
451,Luke JongweLM Jongwe  c Logan van Beek b Bas de Leede,6,8,0,0,75
452,Richard NgaravaR Ngarava  c Stephan Myburgh b Fred Klaassen,9,7,0,1,128.57
453,Tendai ChataraTL Chatara  NOT OUT,6,7,0,0,85.71
454,Blessing MuzarabaniB Muzarabani  c Brandon Glover b Logan van Beek,1,4,0,0,25
455,"Extras (w 11, lb 3)",14,,,,
456,"Total (all out, 19.2 overs)",117,,,,
457,Stephan MyburghSJ Myburgh  c Ryan Burl b Blessing Muzarabani,8,7,0,1,114.28
458,Max O'DowdMP O'Dowd  c Milton Shumba b Blessing Muzarabani,52,47,8,1,110.63
459,Tom CooperTLW Cooper  c Wessly Madhevere b Luke Jongwe,32,29,2,1,110.34
460,Colin AckermannCN Ackermann  c Luke Jongwe b Richard Ngarava,1,5,0,0,20
461,Bas de LeedeBFW de Leede  NOT OUT,12,12,2,0,100
462,Scott EdwardsSA Edwards  c Regis Chakabva b Richard Ngarava,5,6,1,0,83.33
463,Roelof van der MerweRE van der Merwe  NOT OUT,0,3,0,0,0
464,Logan van BeekL van Beek,-,-,-,-,-
465,Fred KlaassenFJ Klaassen,-,-,-,-,-
466,Paul van MeekerenPA van Meekeren,-,-,-,-,-
467,Brandon GloverBD Glover,-,-,-,-,-
468,"Extras (nb 1, w 4, lb 5)",10,,,,
469,"Total (5 wickets, 18 overs)",120,,,,
470,KL RahulKL Rahul  c Mustafizur Rahman b Shakib Al Hasan,50,32,3,4,156.25
471,Rohit SharmaRG Sharma  c Yasir Ali b Hasan Mahmud,2,8,0,0,25
472,Virat KohliV Kohli  NOT OUT,64,44,8,1,145.45
473,Suryakumar YadavSK Yadav  b Shakib Al Hasan,30,16,4,0,187.5
474,Hardik PandyaHH Pandya  c Yasir Ali b Hasan Mahmud,5,6,0,0,83.33
475,Dinesh KarthikKD Karthik  run out (Shakib Al Hasan/Shoriful Islam),7,5,1,0,140
476,Axar PatelAR Patel  c Shakib Al Hasan b Hasan Mahmud,7,6,1,0,116.66
477,Ravichandran AshwinR Ashwin  NOT OUT,13,6,1,1,216.66
478,Bhuvneshwar KumarB Kumar,-,-,-,-,-
479,Mohammed ShamiMohammed Shami,-,-,-,-,-
480,Arshdeep SinghArshdeep Singh,-,-,-,-,-
481,"Extras (nb 3, w 2, lb 1)",6,,,,
482,"Total (6 wickets, 20 overs)",184,,,,
483,Najmul Hossain ShantoNajmul Hossain Shanto  c Suryakumar Yadav b Mohammed Shami,21,25,1,1,84
484,Litton DasLitton Das  run out (KL Rahul),60,27,7,3,222.22
485,Shakib Al HasanS Al Hasan  c Deepak Hooda b Arshdeep Singh,13,12,2,0,108.33
486,Afif HossainAfif Hossain  c Suryakumar Yadav b Arshdeep Singh,3,5,0,0,60
487,Yasir AliYasir Ali  c Arshdeep Singh b Hardik Pandya,1,3,0,0,33.33
488,Nurul HasanNurul Hasan  NOT OUT,25,14,2,1,178.57
489,Musaddek HossainMusaddek Hossain  b Hardik Pandya,6,3,0,1,200
490,Taskin AhmedTaskin Ahmed  NOT OUT,12,7,1,1,171.42
491,Hasan MahmudHasan Mahmud,-,-,-,-,-
492,Mustafizur RahmanMustafizur Rahman,-,-,-,-,-
493,Shoriful IslamShoriful Islam,-,-,-,-,-
494,"Extras (w 2, lb 2)",4,,,,
495,"Total (6 wickets, 16 overs)",145,,,,
496,Muhammad RizwanMuhammad Rizwan  b Wayne Parnell,4,4,1,0,100
497,Babar AzamBabar Azam  c Kagiso Rabada b Lungi Ngidi,6,15,0,0,40
498,Mohammad HarisMohammad Haris  lbw Anrich Nortje,28,11,2,3,254.54
499,Shan MasoodShan Masood  c Temba Bavuma b Anrich Nortje,2,6,0,0,33.33
500,Iftikhar AhmedIftikhar Ahmed  c Rilee Rossouw b Kagiso Rabada,51,35,3,2,145.71
501,Mohammad NawazMohammad Nawaz  lbw Tabraiz Shamsi,28,22,4,1,127.27
502,Shadab KhanShadab Khan  c Tristan Stubbs b Anrich Nortje,52,22,3,4,236.36
503,Mohammad WasimMohammad Wasim  c Temba Bavuma b Anrich Nortje,0,1,0,0,0
504,Naseem ShahNaseem Shah  NOT OUT,5,3,0,0,166.66
505,Haris RaufHaris Rauf  run out (Heinrich Klaasen/Temba Bavuma),3,2,0,0,150
506,Shaheen Shah AfridiShaheen Shah Afridi,-,-,-,-,-
507,"Extras (nb 1, w 4, lb 1)",6,,,,
508,"Total (9 wickets, 20 overs)",185,,,,
509,Temba BavumaT Bavuma  c Muhammad Rizwan b Shadab Khan,36,19,4,1,189.47
510,Quinton de KockQ de Kock  c Mohammad Haris b Shaheen Shah Afridi,0,5,0,0,0
511,Rilee RossouwRR Rossouw  c Naseem Shah b Shaheen Shah Afridi,7,6,0,1,116.66
512,Aiden MarkramAK Markram  b Shadab Khan,20,14,4,0,142.85
513,Heinrich KlaasenH Klaasen  c Mohammad Wasim b Shaheen Shah Afridi,15,9,3,0,166.66
514,Tristan StubbsT Stubbs  c Mohammad Nawaz b Naseem Shah,18,18,0,1,100
515,Wayne ParnellWD Parnell  lbw Mohammad Wasim,3,4,0,0,75
516,Kagiso RabadaK Rabada  run out (Mohammad Nawaz),1,2,0,0,50
517,Anrich NortjeA Nortje  c Mohammad Haris b Haris Rauf,1,5,0,0,20
518,Lungi NgidiL Ngidi  NOT OUT,4,1,1,0,400
519,Tabraiz ShamsiT Shamsi  NOT OUT,1,1,0,0,100
520,Extras (w 2),2,,,,
521,"Total (9 wickets, 14 overs)",108,,,,
522,Finn AllenFH Allen  c Fionn Hand b Mark Adair,32,18,5,1,177.77
523,Devon ConwayDP Conway  c Mark Adair b Gareth Delany,28,33,2,0,84.84
524,Kane WilliamsonKS Williamson  c Gareth Delany b Joshua Little,61,35,5,3,174.28
525,Glenn PhillipsGD Phillips  c George Dockrell b Gareth Delany,17,9,2,1,188.88
526,Daryl MitchellDJ Mitchell  NOT OUT,31,21,2,0,147.61
527,Jimmy NeeshamJDS Neesham  lbw Joshua Little,0,1,0,0,0
528,Mitch SantnerMJ Santner  lbw Joshua Little,0,1,0,0,0
529,Tim SoutheeTG Southee  NOT OUT,1,2,0,0,50
530,Ish SodhiIS Sodhi,-,-,-,-,-
531,Lockie FergusonLH Ferguson,-,-,-,-,-
532,Trent BoultTA Boult,-,-,-,-,-
533,"Extras (w 7, b 1, lb 7)",15,,,,
534,"Total (6 wickets, 20 overs)",185,,,,
535,Paul StirlingPR Stirling  b Ish Sodhi,37,27,3,1,137.03
536,Andrew BalbirnieA Balbirnie  b Mitch Santner,30,25,0,3,120
537,Lorcan TuckerLJ Tucker  c Finn Allen b Ish Sodhi,13,14,0,0,92.85
538,Harry TectorHT Tector  c Tim Southee b Mitch Santner,2,7,0,0,28.57
539,Gareth DelanyGJ Delany  c Devon Conway b Lockie Ferguson,10,8,2,0,125
540,George DockrellGH Dockrell  c Kane Williamson b Lockie Ferguson,23,15,3,0,153.33
541,Curtis CampherC Campher  c Finn Allen b Tim Southee,7,7,1,0,100
542,Fionn HandF Hand  c & b Lockie Ferguson,5,3,1,0,166.66
543,Mark AdairMR Adair  c Glenn Phillips b Tim Southee,4,5,0,0,80
544,Barry McCarthyBJ McCarthy  NOT OUT,6,5,0,0,120
545,Joshua LittleJB Little  NOT OUT,8,4,0,1,200
546,"Extras (w 1, lb 4)",5,,,,
547,"Total (9 wickets, 20 overs)",150,,,,
548,David WarnerDA Warner  b Naveen-ul-Haq Murid,25,18,5,0,138.88
549,Cameron GreenC Green  c Gulbadin Naib b Fazalhaq Farooqi,3,2,0,0,150
550,Mitchell MarshMR Marsh  c Gurbaz b Mujeeb Zadran,45,30,3,2,150
551,Steve SmithSPD Smith  lbw Naveen-ul-Haq Murid,4,4,1,0,100
552,Marcus StoinisMP Stoinis  c Usman Ghani b Rashid Khan,25,21,0,2,119.04
553,Glenn MaxwellGJ Maxwell  NOT OUT,54,32,6,2,168.75
554,Matthew WadeMS Wade  b Fazalhaq Farooqi,6,8,1,0,75
555,Pat CumminsPJ Cummins  c Rashid Khan b Naveen-ul-Haq Murid,0,2,0,0,0
556,Kane RichardsonKW Richardson  run out (Naveen-ul-Haq Murid),1,1,0,0,100
557,Adam ZampaA Zampa  NOT OUT,1,1,0,0,100
558,Josh HazlewoodJR Hazlewood,-,-,-,-,-
559,"Extras (w 2, lb 2)",4,,,,
560,"Total (8 wickets, 20 overs)",168,,,,
561,GurbazGurbaz  c David Warner b Kane Richardson,30,17,2,2,176.47
562,Usman GhaniUsman Ghani  c Pat Cummins b Josh Hazlewood,2,7,0,0,28.57
563,Ibrahim ZadranIbrahim Zadran  c Mitchell Marsh b Adam Zampa,26,33,2,0,78.78
564,Gulbadin NaibGulbadin Naib  run out (Glenn Maxwell),39,23,3,2,169.56
565,Mohammad NabiMohammad Nabi  c David Warner b Josh Hazlewood,1,2,0,0,50
566,Najib ZadranNajib Zadran  c Glenn Maxwell b Adam Zampa,0,2,0,0,0
567,Darwish RasooliDarwish Rasooli  run out (Marcus Stoinis),15,13,1,0,115.38
568,Rashid KhanRashid Khan  NOT OUT,48,23,3,4,208.69
569,Naveen-ul-Haq MuridNaveen-ul-Haq Murid  NOT OUT,0,0,0,0,-
570,Mujeeb ZadranMujeeb Zadran,-,-,-,-,-
571,Fazalhaq FarooqiFazalhaq Farooqi,-,-,-,-,-
572,Extras (w 3),3,,,,
573,"Total (7 wickets, 20 overs)",164,,,,
574,Pathum NissankaP Nissanka  c Chris Jordan b Adil Rashid,67,45,2,5,148.88
575,Kusal MendisKusal Mendis  c Liam Livingstone b Chris Woakes,18,14,1,1,128.57
576,Dhananjaya de SilvaDM de Silva  c Ben Stokes b Sam Curran,9,11,0,0,81.81
577,Charith AsalankaKIC Asalanka  c Dawid Malan b Ben Stokes,8,9,0,0,88.88
578,Bhanuka RajapaksaPBB Rajapaksa  c Sam Curran b Mark Wood,22,22,3,0,100
579,Dasun ShanakaMD Shanaka  c Jos Buttler b Mark Wood,3,8,0,0,37.5
580,Wanindu HasarangaW Hasaranga  run out (Jos Buttler),9,9,1,0,100
581,Chamika KarunaratneC Karunaratne  c Alex Hales b Mark Wood,0,2,0,0,0
582,Maheesh TheekshanaM Theekshana  NOT OUT,0,0,0,0,-
583,Lahiru KumaraCBRLS Kumara,-,-,-,-,-
584,Kasun RajithaCAK Rajitha,-,-,-,-,-
585,"Extras (w 2, lb 3)",5,,,,
586,"Total (8 wickets, 20 overs)",141,,,,
587,Jos ButtlerJC Buttler  c Chamika Karunaratne b Wanindu Hasaranga,28,23,2,1,121.73
588,Alex HalesAD Hales  c & b Wanindu Hasaranga,47,30,7,1,156.66
589,Ben StokesBA Stokes  NOT OUT,42,36,2,0,116.66
590,Harry BrookHC Brook  c & b Dhananjaya de Silva,4,5,0,0,80
591,Liam LivingstoneLS Livingstone  c Dhananjaya de Silva b Lahiru Kumara,4,6,0,0,66.66
592,Moeen AliMM Ali  c Dasun Shanaka b Dhananjaya de Silva,1,5,0,0,20
593,Sam CurranSM Curran  c Kasun Rajitha b Lahiru Kumara,6,11,0,0,54.54
594,Chris WoakesCR Woakes  NOT OUT,5,3,1,0,166.66
595,Dawid MalanDJ Malan,-,-,-,-,-
596,Adil RashidAU Rashid,-,-,-,-,-
597,Mark WoodMA Wood,-,-,-,-,-
598,"Extras (nb 1, w 3, lb 3)",7,,,,
599,"Total (6 wickets, 19.4 overs)",144,,,,
600,Stephan MyburghSJ Myburgh  c Rilee Rossouw b Aiden Markram,37,30,7,0,123.33
601,Max O'DowdMP O'Dowd  c Kagiso Rabada b Keshav Maharaj,29,31,1,1,93.54
602,Tom CooperTLW Cooper  c Quinton de Kock b Keshav Maharaj,35,19,2,2,184.21
603,Colin AckermannCN Ackermann  NOT OUT,41,26,3,2,157.69
604,Bas de LeedeBFW de Leede  b Anrich Nortje,1,7,0,0,14.28
605,Scott EdwardsSA Edwards  NOT OUT,12,7,2,0,171.42
606,Roelof van der MerweRE van der Merwe,-,-,-,-,-
607,Logan van BeekL van Beek,-,-,-,-,-
608,Fred KlaassenFJ Klaassen,-,-,-,-,-
609,Paul van MeekerenPA van Meekeren,-,-,-,-,-
610,Brandon GloverBD Glover,-,-,-,-,-
611,"Extras (w 2, lb 1)",3,,,,
612,"Total (4 wickets, 20 overs)",158,,,,
613,Quinton de KockQ de Kock  c Scott Edwards b Fred Klaassen,13,13,1,1,100
614,Temba BavumaT Bavuma  b Paul van Meekeren,20,20,2,0,100
615,Rilee RossouwRR Rossouw  c Max O'Dowd b Brandon Glover,25,19,2,0,131.57
616,Aiden MarkramAK Markram  c Stephan Myburgh b Fred Klaassen,17,13,2,0,130.76
617,David MillerDA Miller  c Roelof van der Merwe b Brandon Glover,17,17,1,0,100
618,Heinrich KlaasenH Klaasen  c Logan van Beek b Bas de Leede,21,18,0,1,116.66
619,Wayne ParnellWD Parnell  c Scott Edwards b Brandon Glover,0,2,0,0,0
620,Keshav MaharajKA Maharaj  c Max O'Dowd b Bas de Leede,13,12,0,1,108.33
621,Kagiso RabadaK Rabada  NOT OUT,9,8,0,0,112.5
622,Anrich NortjeA Nortje  NOT OUT,4,1,1,0,400
623,Lungi NgidiL Ngidi,-,-,-,-,-
624,"Extras (nb 3, w 3)",6,,,,
625,"Total (8 wickets, 20 overs)",145,,,,
626,Najmul Hossain ShantoNajmul Hossain Shanto  b Iftikhar Ahmed,54,48,7,0,112.5
627,Litton DasLitton Das  c Shan Masood b Shaheen Shah Afridi,10,8,0,1,125
628,Soumya SarkarSoumya Sarkar  c Shan Masood b Shadab Khan,20,17,1,1,117.64
629,Shakib Al HasanS Al Hasan  lbw Shadab Khan,0,1,0,0,0
630,Afif HossainAfif Hossain  NOT OUT,24,20,3,0,120
631,Musaddek HossainMusaddek Hossain  b Shaheen Shah Afridi,5,11,0,0,45.45
632,Nurul HasanNurul Hasan  c Mohammad Haris b Shaheen Shah Afridi,0,3,0,0,0
633,Taskin AhmedTaskin Ahmed  c Babar Azam b Shaheen Shah Afridi,1,5,0,0,20
634,Nasum AhmedNasum Ahmed  c Mohammad Wasim b Haris Rauf,7,6,1,0,116.66
635,Mustafizur RahmanMustafizur Rahman  NOT OUT,0,1,0,0,0
636,Ebadot HossainEbadat Hossain,-,-,-,-,-
637,"Extras (w 1, b 2, lb 3)",6,,,,
638,"Total (8 wickets, 20 overs)",127,,,,
639,Muhammad RizwanMuhammad Rizwan  c Najmul Hossain Shanto b Ebadot Hossain,32,32,2,1,100
640,Babar AzamBabar Azam  c Mustafizur Rahman b Nasum Ahmed,25,33,2,0,75.75
641,Mohammad NawazMohammad Nawaz  run out (Litton Das),4,11,0,0,36.36
642,Mohammad HarisMohammad Haris  c Nasum Ahmed b Shakib Al Hasan,31,18,1,2,172.22
643,Shan MasoodShan Masood  NOT OUT,24,14,2,0,171.42
644,Iftikhar AhmedIftikhar Ahmed  c Najmul Hossain Shanto b Mustafizur Rahman,1,3,0,0,33.33
645,Shadab KhanShadab Khan  NOT OUT,0,0,0,0,-
646,Mohammad WasimMohammad Wasim,-,-,-,-,-
647,Shaheen Shah AfridiShaheen Shah Afridi,-,-,-,-,-
648,Naseem ShahNaseem Shah,-,-,-,-,-
649,Haris RaufHaris Rauf,-,-,-,-,-
650,"Extras (nb 2, w 2, lb 7)",11,,,,
651,"Total (5 wickets, 18.1 overs)",128,,,,
652,KL RahulKL Rahul  c Wellington Masakadza b Sikandar Raza,51,35,3,3,145.71
653,Rohit SharmaRG Sharma  c Wellington Masakadza b Blessing Muzarabani,15,13,2,0,115.38
654,Virat KohliV Kohli  c Ryan Burl b Sean Williams,26,25,2,0,104
655,Suryakumar YadavSK Yadav  NOT OUT,61,25,6,4,244
656,Rishabh PantRR Pant  c Ryan Burl b Sean Williams,3,5,0,0,60
657,Hardik PandyaHH Pandya  c Blessing Muzarabani b Richard Ngarava,18,18,2,0,100
658,Axar PatelAR Patel  NOT OUT,0,0,0,0,-
659,Ravichandran AshwinR Ashwin,-,-,-,-,-
660,Bhuvneshwar KumarB Kumar,-,-,-,-,-
661,Mohammed ShamiMohammed Shami,-,-,-,-,-
662,Arshdeep SinghArshdeep Singh,-,-,-,-,-
663,"Extras (nb 1, w 6, lb 5)",12,,,,
664,"Total (5 wickets, 20 overs)",186,,,,
665,Wessly MadhevereW Madhevere  c Virat Kohli b Bhuvneshwar Kumar,0,1,0,0,0
666,Craig ErvineCR Ervine  c & b Hardik Pandya,13,15,2,0,86.66
667,Regis ChakabvaRW Chakabva  b Arshdeep Singh,0,6,0,0,0
668,Sean WilliamsSC Williams  c Bhuvneshwar Kumar b Mohammed Shami,11,18,0,1,61.11
669,Sikandar RazaSikandar Raza  c Suryakumar Yadav b Hardik Pandya,34,24,3,0,141.66
670,Tony MunyongaT Munyonga  lbw Mohammed Shami,5,4,1,0,125
671,Ryan BurlRP Burl  b Ravichandran Ashwin,35,22,5,1,159.09
672,Wellington MasakadzaWP Masakadza  c Rohit Sharma b Ravichandran Ashwin,1,7,0,0,14.28
673,Richard NgaravaR Ngarava  b Ravichandran Ashwin,1,2,0,0,50
674,Tendai ChataraTL Chatara  c & b Axar Patel,4,4,1,0,100
675,Blessing MuzarabaniB Muzarabani  NOT OUT,0,2,0,0,0
676,"Extras (nb 1, w 7, lb 3)",11,,,,
677,"Total (all out, 17.2 overs)",115,,,,
