,Batsmen,R,B,4s,6s,SR
86,Taskin AhmedTaskin Ahmed  c Logan van Beek b Fred Klaassen,0,1,0,0,0
87,Hasan MahmudHasan Mahmud  NOT OUT,0,3,0,0,0
88,Mustafizur RahmanMustafizur Rahman,-,-,-,-,-
89,"Extras (w 7, lb 8)",15,,,,
90,"Total (8 wickets, 20 overs)",144,,,,
91,Vikram SinghVikram Singh  c Yasir Ali b Taskin Ahmed,0,1,0,0,0
92,Max O'DowdMP O'Dowd  run out (Afif Hossain/Shakib Al Hasan),8,8,0,1,100
93,Bas de LeedeBFW de Leede  c Nurul Hasan b Taskin Ahmed,0,1,0,0,0
94,Colin AckermannCN Ackermann  c Musaddek Hossain b Taskin Ahmed,62,48,6,2,129.16
95,Tom CooperTLW Cooper  run out (Najmul Hossain Shanto/Nurul Hasan),0,0,0,0,-
96,Scott EdwardsSA Edwards  c Hasan Mahmud b Shakib Al Hasan,16,24,1,0,66.66
97,Tim PringleTJG Pringle  b Hasan Mahmud,1,6,0,0,16.66
98,Logan van BeekL van Beek  c Taskin Ahmed b Hasan Mahmud,2,5,0,0,40
99,Shariz AhmadShariz Ahmad  c Hasan Mahmud b Taskin Ahmed,9,8,1,0,112.5
100,Fred KlaassenFJ Klaassen  NOT OUT,7,6,0,0,116.66
101,Paul van MeekerenPA van Meekeren  c Litton Das b Soumya Sarkar,24,14,3,1,171.42
102,"Extras (nb 1, w 5)",6,,,,
103,"Total (all out, 20 overs)",135,,,,
104,Regis ChakabvaRW Chakabva  c Quinton de Kock b Lungi Ngidi,8,8,0,1,100
105,Craig ErvineCR Ervine  c Lungi Ngidi b Wayne Parnell,2,6,0,0,33.33
106,Sean WilliamsSC Williams  run out (David Miller),1,1,0,0,100
107,Sikandar RazaSikandar Raza  c Quinton de Kock b Lungi Ngidi,0,2,0,0,0
108,Wesley MadhevereW Madhevere  NOT OUT,35,18,4,1,194.44
109,Milton ShumbaM Shumba  c Quinton de Kock b Anrich Nortje,18,20,2,0,90
110,Ryan BurlRP Burl,-,-,-,-,-
111,Luke JongweLM Jongwe,-,-,-,-,-
112,Tendai ChataraTL Chatara,-,-,-,-,-
113,Richard NgaravaR Ngarava,-,-,-,-,-
114,Blessing MuzarabaniB Muzarabani,-,-,-,-,-
115,"Extras (w 2, b 1, lb 7, pen 5)",15,,,,
116,"Total (5 wickets, 9 overs)",79,,,,
117,Quinton de KockQ de Kock  NOT OUT,47,18,8,1,261.11
118,Temba BavumaT Bavuma  NOT OUT,2,2,0,0,100
119,Rilee RossouwRR Rossouw,-,-,-,-,-
120,Aiden MarkramAK Markram,-,-,-,-,-
121,David MillerDA Miller,-,-,-,-,-
122,Tristan StubbsT Stubbs,-,-,-,-,-
123,Wayne ParnellWD Parnell,-,-,-,-,-
124,Keshav MaharajKA Maharaj,-,-,-,-,-
125,Kagiso RabadaK Rabada,-,-,-,-,-
126,Anrich NortjeA Nortje,-,-,-,-,-
127,Lungi NgidiL Ngidi,-,-,-,-,-
128,Extras (nb 2),2,,,,
129,"Total (0 wickets, 3 overs)",51,,,,
130,Pathum NissankaP Nissanka  run out (Mitchell Marsh/Matthew Wade),40,45,2,0,88.88
131,Kusal MendisKusal Mendis  c Mitchell Marsh b Pat Cummins,5,6,1,0,83.33
