,Bowlers,O,M,R,W,Econ,Dots
102,Axar PatelAR Patel,4,0,18,2,4.5,11
103,Hardik PandyaHH Pandya,1,0,9,0,9,1
104,Ravichandran AshwinR Ashwin,4,0,21,2,5.25,13
105,Shaheen Shah AfridiShaheen Shah Afridi,4,0,29,0,7.25,9
106,Naseem ShahNaseem Shah,4,0,34,0,8.5,7
107,Mohammad WasimMohammad Wasim,4,0,24,4,6,16
108,Haris RaufHaris Rauf,4,1,12,1,3,15
109,Shadab KhanShadab Khan,4,0,23,3,5.75,8
110,Richard NgaravaR Ngarava,4,0,24,0,6,15
111,Blessing MuzarabaniB Muzarabani,4,0,18,1,4.5,11
112,Brad EvansB Evans,4,0,25,2,6.25,12
113,Sikandar RazaSikandar Raza,4,0,25,3,6.25,13
114,Luke JongweLM Jongwe,1,0,10,1,10,2
115,Sean WilliamsSC Williams,2,0,15,0,7.5,1
116,Ryan BurlRP Burl,1,0,7,0,7,0
117,Maheesh TheekshanaM Theekshana,4,0,35,1,8.75,7
118,Kasun RajithaCAK Rajitha,4,0,23,2,5.75,16
119,Dhananjaya de SilvaDM de Silva,2,0,14,1,7,4
120,Wanindu HasarangaW Hasaranga,4,0,22,1,5.5,9
121,Lahiru KumaraCBRLS Kumara,3,0,37,1,12.33,2
122,Chamika KarunaratneC Karunaratne,3,0,34,0,11.33,5
123,Tim SoutheeTG Southee,4,1,12,1,3,18
124,Trent BoultTA Boult,4,0,13,4,3.25,18
125,Lockie FergusonLH Ferguson,4,0,35,1,8.75,11
126,Mitch SantnerMJ Santner,4,0,21,2,5.25,13
127,Ish SodhiIS Sodhi,3.2,0,21,2,6.3,11
128,Richard NgaravaR Ngarava,4,0,24,2,6,11
129,Blessing MuzarabaniB Muzarabani,2,0,13,2,6.5,8
130,Tendai ChataraTL Chatara,3,0,18,0,6,7
131,Sikandar RazaSikandar Raza,4,0,35,1,8.75,2
132,Brad EvansB Evans,3,0,32,0,10.66,2
133,Wessly MadhevereW Madhevere,2,0,18,0,9,0
134,Sean WilliamsSC Williams,2,0,10,1,5,4
135,Taskin AhmedTaskin Ahmed,4,1,19,3,4.75,15
136,Hasan MahmudHasan Mahmud,4,0,36,0,9,8
137,Musaddek HossainMusaddek Hossain,4,0,34,2,8.5,11
138,Mustafizur RahmanMustafizur Rahman,4,0,15,2,3.75,11
139,Shakib Al HasanS Al Hasan,4,0,34,0,8.5,5
140,Shaheen Shah AfridiShaheen Shah Afridi,4,0,19,1,4.75,13
141,Naseem ShahNaseem Shah,4,0,11,1,2.75,15
142,Mohammad WasimMohammad Wasim,3,0,15,2,5,10
143,Haris RaufHaris Rauf,3,0,10,1,3.33,11
144,Shadab KhanShadab Khan,4,0,22,3,5.5,11
145,Mohammad NawazMohammad Nawaz,2,0,11,0,5.5,3
146,Fred KlaassenFJ Klaassen,3,0,26,0,8.66,4
147,Paul van MeekerenPA van Meekeren,4,0,19,1,4.75,15
148,Brandon GloverBD Glover,2.5,0,22,2,7.76,9
149,Tim PringleTJG Pringle,1,0,12,0,12,1
150,Logan van BeekL van Beek,2,0,9,0,4.5,5
151,Roelof van der MerweRE van der Merwe,1,0,7,0,7,1
152,Wayne ParnellWD Parnell,4,1,15,3,3.75,16
